key_name,English,Français,Español,ITA,русский,
greeting,"Hi, how are you?","Bonjour, comment allez-vous?","¿Holà, cómo está?",,,
gender_woman,Woman,Femme,Mujer,,,
gender_man,Man,Homme,Hombre,,,
favorite_number,22,22,22,22,,
undefined_key,,,,,,
interpolation,"I saw a big family today at the park. Including the parents, they were 11 people. There were {{girls}} girls and {{boys}} boys.","J'ai vu une grande famille aujourd'hui au parc. Incluant les parents, ils étaient 11 personnes. Il y avait {{girls}} filles et {{boys}} garçons.","Hoy vi una gran familia en el parque. Incluidos los padres, eran 11 personas. Había {{girls}} niñas y {{boys}} niños.",,,
woman_in_blue,The lady in blue,La dame en bleu,La dama de azul,,,
shameless_self_promotion,Follow me on Twitter: @Chelny,Suivez-moi sur Twitter: @Chelny,Sígueme en Twitter: @Chelny,Seguimi su Twitter: @Chelny,,
,Missing key,Clé manquante,Falta clave,,,
double_quotes,"Example of ""text between double quotes""","Exemple de ""texte entre guillemets double""","Ejemplo de ""texto entre comillas dobles""",,,
null_value,null,null,null,null,,
link_text,"The language is <a href=""#"">English</a>","La langue est <a href=""#"">Français</a>","El idioma es el <a href=""#"">Español</a>","La lingua è l'<a href=""#"">Italiano</a>",,
date,00/6/22,1900-06-22,1900-06-22,1900-06-22,,